Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Label
-0.930008036130057,-0.9299631046656751,-1.400190284637696,-0.9807745720913528,-1.2488877547722725,-0.8920442910935713,-1.2347757458323827,-0.8644798065691974,1.0
-1.0509903222089627,-1.0612688333871507,-1.1918387019859067,-0.9627130523463567,-0.27942796120211555,-1.0892229956487134,-0.3943606284242707,-1.1023588404648033,1.0
-0.9036184218585147,-0.9125762359867056,0.3459566873962837,-0.9155068075582988,-0.7616474469521394,-0.9526900006444381,-0.6240249635855686,-0.9885069339753781,1.0
-0.9218378673912809,-0.9141722054416156,-1.158396983166212,-1.000478048176803,-1.4911517691093754,-0.8628969478689036,-1.4258647148585357,-0.819954955557546,1.0
-1.0235347542680022,-1.0294314977018497,-0.4149791202005835,-0.9713333231337411,-0.6034212693877244,-1.0421090270174562,-0.6764118708104334,-1.0464038639925448,1.0
-1.0495004258683367,-1.054005920043442,-0.5286605603451682,-1.0078668517088467,-0.8356894356984734,-1.071683828987857,-0.8429797944355643,-1.077656914136281,1.0
-0.9091816229991412,-0.9180627209909373,-2.17741198032416,-0.9150963184731854,-0.7290215763997147,-0.8925518983541293,-0.8259776077023571,-0.8612505167460861,1.0
-1.0068748153022418,-0.9936929060807929,0.35940228139703284,-0.9401361526651116,-0.5188662614025805,-1.0070974841247642,-0.586231125304235,-1.021760490731974,1.0
-1.0856647031080486,-1.0869554951212825,-2.267336407193394,-0.9725647903890817,-0.18551605537742705,-1.1072296953127152,-0.38683136460988554,-1.112562029079903,1.0
-1.0292067904413846,-1.01793639267273,-0.12359496351509791,-0.9680494104528328,-0.6448581511674305,-1.0341743240497878,-0.6838410679610187,-1.043754864261592,1.0
-0.9418047328659777,-0.9315400835984673,0.7924196015043431,-0.9397256635799982,-0.8752546423290195,-0.955254753118836,-0.7780116388686996,-0.977525174321277,1.0
-0.9381705679077875,-0.9482929171562259,-0.9940275844521729,-0.9368522399842033,-0.7589660235287182,-0.928725594711783,-0.8484128233588822,-0.9045842781092125,1.0
-0.988575814774423,-0.9817072909852947,-1.041190340989111,-0.9980151136661216,-1.155687012767991,-0.9827456937037885,-1.0876371931189583,-0.9867913301618724,1.0
-0.929142385697045,-0.9375326420807437,-1.111650430248938,-0.9339788163884085,-0.791857910568871,-0.9381163290321043,-0.798433373258686,-0.9435811578225061,1.0
-1.0642567196937383,-1.037625254825033,0.08664916216939722,-1.0246969041985021,-1.1206423631973916,-1.0519940105125314,-1.0517125407622137,-1.0678135648524096,1.0
-1.0272030013122178,-1.0313106148831064,-0.5601658233931489,-0.9709228340486277,-0.5864255999081774,-1.0275353554051225,-0.732140038909616,-1.0224696971588325,1.0
-1.0648097489684607,-1.0551791793983203,-1.1856135251182087,-0.9475249561971556,-0.157480329055657,-1.068077145820735,-0.3736036654512448,-1.0785868121661253,1.0
-0.932290530340237,-0.9416951455835356,-1.1082893642972573,-0.9512193579631775,-0.9255742342922584,-0.9357786640163769,-0.9195716827330646,-0.9455021222120954,1.0
-0.9144365954607447,-0.9136704312409645,-1.6329965659083152,-0.984058484772261,-1.350744158395738,-0.8656086392871472,-1.3212164410556808,-0.8235454414321892,1.0
-0.8834871164097803,-0.8916084792918968,-0.3310641278464458,-0.9323368600479542,-1.009451184463951,-0.9060034907589141,-0.8918432483714632,-0.9277241497943771,1.0
-0.8652945641072117,-0.8706930607606954,-0.4683583614513194,-0.9528613143036315,-1.2720094752197395,-0.8192026492035102,-1.250438584254326,-0.7821019015885998,1.0
-0.9956637767225079,-0.9997126436307937,-1.5915284252512332,-0.9668179431974921,-0.7468530339480702,-0.9887167580582458,-0.8475803483442015,-0.9776688982579889,1.0
-1.029672372230177,-1.023788105109923,0.011259281128343289,-0.974206746729536,-0.6709082980255854,-1.0284036309823925,-0.7534086506985137,-1.0352156531905041,1.0
-0.8579872488559652,-0.8607561440983046,0.16039997641170517,-0.9118124057922771,-0.9838068443143931,-0.8507010155297094,-0.9313305352512842,-0.8567043246271373,1.0
-1.0164641308349578,-1.0231521535536874,-1.1334961462321662,-1.0193605460920259,-1.1468131367104006,-0.9864725996431477,-1.226433357886033,-0.9465408131243561,1.0
-0.8710488758794578,-0.8807393852165627,-0.110764616473996,-0.9491669125376097,-1.1988076340523037,-0.8630839610701616,-1.1187566258750445,-0.853798135544048,1.0
-0.9294606846153753,-0.9369201129619988,-0.4273907434154867,-0.9458829998567013,-0.9023220745029757,-0.924117055109349,-0.9217639754815199,-0.9165059467952751,1.0
-1.0020791630543038,-0.9952948500451474,-2.1380015006067983,-0.9951416900703269,-1.0548742438268808,-0.9713245303412353,-1.1034225263458797,-0.9431927854041509,1.0
-0.9922730384668992,-1.0018964678333941,-0.6847875893576497,-1.0288017950496375,-1.3564334239892095,-0.9894247366058663,-1.2845196362102296,-0.9737614485124243,1.0
-1.0008280655061537,-1.0097088845562308,-0.25218700523868615,-1.018539567921799,-1.2120415081056723,-0.983987995683575,-1.2280489729614592,-0.967058104384813,1.0
-0.9957871722782005,-0.9938284709564251,-0.049588520163930595,-0.983237506602034,-0.9449844590630497,-0.992577244855647,-0.9507422916174045,-0.9917328502907595,1.0
-0.9038302890915598,-0.9099285376352149,-0.6314325172972187,-0.9520403361334046,-1.090675559907918,-0.8627767250966661,-1.1367415801039424,-0.819543773959329,1.0
